donor,country_code_WB,region,project_size_USD_calculated,startyear,completion_year,evalyear,eval_lag,project_duration,external_evaluator,success,Grouped Category
GEF,IDN,East Asia & Pacific,5000000,2004,2010,2011,1,2192,independent eval office,0,Agriculture and Environment
GEF,IDN,East Asia & Pacific,7500000,2005,2011,2012,1,2191,independent eval office,1,Agriculture and Environment
GEF,IDN,East Asia & Pacific,5811999,2006,2012,2014,2,2191,independent eval office,1,Agriculture and Environment
GEF,IDN,East Asia & Pacific,999987,2007,2012,2013,1,1826,independent eval office,1,Agriculture and Environment
GEF,IDN,East Asia & Pacific,4000000,2008,2013,2013,0,1827,independent eval office,1,Agriculture and Environment
GEF,IDN,East Asia & Pacific,2587300,2008,2014,2014,0,2192,independent eval office,0,Agriculture and Environment
GEF,IDN,East Asia & Pacific,7000000,2010,2015,2015,0,1826,independent eval office,0,Multisector and Unallocated
GEF,IRN,Middle East & North Africa,2000000,1994,1996,1998,2,730,independent eval office,0,Agriculture and Environment
GEF,IRN,Middle East & North Africa,718400,2001,2009,2009,0,2922,independent eval office,1,Agriculture and Environment
GEF,IRN,Middle East & North Africa,4699999,2009,2012,2012,0,1095,independent eval office,0,Infrastructure and Basic Services
GEF,IRN,Middle East & North Africa,2915000,2005,2013,2013,0,2922,independent eval office,0,Agriculture and Environment
GEF,JAM,Latin America & Caribbean,3800000,1994,1999,2000,1,1826,independent eval office,0,Agriculture and Environment
GEF,JAM,Latin America & Caribbean,470250,2008,2011,2013,2,1096,independent eval office,0,Multisector and Unallocated
GEF,JOR,Middle East & North Africa,6300000,1993,1999,1996,-3,2191,independent eval office,0,Agriculture and Environment
GEF,JOR,Middle East & North Africa,2700000,1996,2002,2002,0,2192,independent eval office,1,Infrastructure and Basic Services
GEF,JOR,Middle East & North Africa,2499759,1997,2007,2008,1,3652,independent eval office,0,Agriculture and Environment
GEF,JOR,Middle East & North Africa,1000000,2003,2009,2008,-1,2192,independent eval office,0,Agriculture and Environment
GEF,JOR,Middle East & North Africa,4930557,2003,2010,2010,0,2557,independent eval office,1,Agriculture and Environment
GEF,JOR,Middle East & North Africa,474999,2009,2012,2013,1,1095,independent eval office,0,Multisector and Unallocated
GEF,JOR,Middle East & North Africa,6150000,2007,2013,2014,1,2192,independent eval office,1,Agriculture and Environment
GEF,JOR,Middle East & North Africa,970000,2010,2014,2015,1,1461,independent eval office,0,Agriculture and Environment
GEF,JOR,Middle East & North Africa,6445000,2010,2015,2016,1,1826,independent eval office,0,Multisector and Unallocated
GEF,JOR,Middle East & North Africa,949999,2011,2015,2015,0,1461,independent eval office,0,Agriculture and Environment
GEF,JOR,Middle East & North Africa,949999,2011,2016,2015,-1,1826,independent eval office,1,Agriculture and Environment
GEF,KEN,Sub-Saharan Africa,6199999,1997,2001,2002,1,1461,independent eval office,1,Agriculture and Environment
GEF,KEN,Sub-Saharan Africa,725000,2000,2004,2004,0,1461,independent eval office,0,Agriculture and Environment
GEF,KEN,Sub-Saharan Africa,750000,2000,2004,2004,0,1461,independent eval office,0,Agriculture and Environment
GEF,KEN,Sub-Saharan Africa,3193000,2000,2006,2007,1,2192,independent eval office,0,Agriculture and Environment
GEF,KEN,Sub-Saharan Africa,924000,2004,2008,2009,1,1461,independent eval office,1,Agriculture and Environment
GEF,KEN,Sub-Saharan Africa,979058,2002,2008,2009,1,2191,independent eval office,0,Agriculture and Environment
GEF,KEN,Sub-Saharan Africa,1000000,2004,2008,2008,0,1461,independent eval office,1,Agriculture and Environment
GEF,KEN,Sub-Saharan Africa,4099999,2005,2010,2010,0,1826,independent eval office,0,Multisector and Unallocated
GEF,KEN,Sub-Saharan Africa,975000,2007,2011,2011,0,1461,independent eval office,0,Agriculture and Environment
GEF,KEN,Sub-Saharan Africa,4699999,2007,2012,2012,0,1826,independent eval office,0,Multisector and Unallocated
GEF,KEN,Sub-Saharan Africa,800000,2007,2012,2012,0,1826,independent eval office,1,Agriculture and Environment
GEF,KEN,Sub-Saharan Africa,750000,2009,2012,2013,1,1095,independent eval office,1,Agriculture and Environment
GEF,KEN,Sub-Saharan Africa,6500000,2009,2014,2014,0,1826,independent eval office,0,Agriculture and Environment
GEF,KEN,Sub-Saharan Africa,2000000,2009,2014,2015,1,1826,independent eval office,0,Agriculture and Environment
GEF,KEN,Sub-Saharan Africa,487500,2009,2015,2016,1,2191,independent eval office,1,Multisector and Unallocated
GEF,KEN,Sub-Saharan Africa,4500000,2010,2016,2016,0,2191,independent eval office,0,Agriculture and Environment
GEF,KIR,East Asia & Pacific,1800000,2006,2010,2011,1,1461,independent eval office,1,Agriculture and Environment
GEF,KGZ,Europe & Central Asia,949999,2008,2012,2013,1,1461,independent eval office,0,Agriculture and Environment
GEF,KGZ,Europe & Central Asia,425000,2008,2012,2012,0,1461,independent eval office,1,Multisector and Unallocated
GEF,KGZ,Europe & Central Asia,949999,2007,2013,2013,0,2192,independent eval office,0,Agriculture and Environment
GEF,KGZ,Europe & Central Asia,899999,2008,2014,2014,0,2192,independent eval office,1,Agriculture and Environment
GEF,KGZ,Europe & Central Asia,949999,2010,2015,2015,0,1826,independent eval office,1,Agriculture and Environment
GEF,KGZ,Europe & Central Asia,949999,2010,2016,2016,0,2191,independent eval office,1,Agriculture and Environment
GEF,KAZ,Europe & Central Asia,5429999,1999,2001,2010,9,731,independent eval office,0,Agriculture and Environment
GEF,KAZ,Europe & Central Asia,5270000,2004,2010,2010,0,2192,independent eval office,1,Multisector and Unallocated
GEF,KAZ,Europe & Central Asia,949999,2008,2011,2012,1,1096,independent eval office,1,Agriculture and Environment
GEF,KAZ,Europe & Central Asia,8710000,2003,2011,2011,0,2922,independent eval office,0,Agriculture and Environment
GEF,KAZ,Europe & Central Asia,2548189,2004,2011,2011,0,2557,independent eval office,0,Agriculture and Environment
GEF,KAZ,Europe & Central Asia,3290000,2006,2011,2013,2,1826,independent eval office,1,Agriculture and Environment
GEF,KAZ,Europe & Central Asia,2770000,2005,2012,2012,0,2556,independent eval office,0,Agriculture and Environment
GEF,KAZ,Europe & Central Asia,2395700,2007,2012,2012,0,1826,independent eval office,1,Agriculture and Environment
GEF,KAZ,Europe & Central Asia,2214999,2008,2014,2013,-1,2192,independent eval office,0,Agriculture and Environment
GEF,KAZ,Europe & Central Asia,4568500,2010,2015,2016,1,1826,independent eval office,1,Agriculture and Environment
GEF,KAZ,Europe & Central Asia,3300000,2010,2015,2015,0,1826,independent eval office,1,Agriculture and Environment
GEF,LAO,East Asia & Pacific,5000000,1995,2000,2001,1,1826,independent eval office,0,Agriculture and Environment
GEF,LAO,East Asia & Pacific,744000,1997,2004,2005,1,2556,independent eval office,1,Agriculture and Environment
GEF,LAO,East Asia & Pacific,968601,2005,2010,2010,0,1826,independent eval office,0,Agriculture and Environment
GEF,LAO,East Asia & Pacific,3750000,2006,2012,2013,1,2191,independent eval office,1,Agriculture and Environment
GEF,LAO,East Asia & Pacific,500000,2011,2013,2013,0,731,independent eval office,0,Multisector and Unallocated
GEF,LAO,East Asia & Pacific,995000,2009,2014,2015,1,1826,independent eval office,1,Agriculture and Environment
GEF,LAO,East Asia & Pacific,4445449,2011,2015,2015,0,1461,independent eval office,0,Agriculture and Environment
GEF,LVA,Europe & Central Asia,5119999,1998,2004,2005,1,2191,independent eval office,0,Agriculture and Environment
GEF,LVA,Europe & Central Asia,750000,2001,2005,2005,0,1461,independent eval office,1,Agriculture and Environment
GEF,LVA,Europe & Central Asia,1320000,1999,2007,2010,3,2922,independent eval office,0,Agriculture and Environment
GEF,LVA,Europe & Central Asia,722516,2005,2008,2008,0,1095,independent eval office,1,Agriculture and Environment
GEF,LVA,Europe & Central Asia,2660500,2004,2009,2009,0,1827,independent eval office,1,Agriculture and Environment
GEF,LBR,Sub-Saharan Africa,975000,2005,2011,2010,-1,2191,independent eval office,0,Agriculture and Environment
GEF,LBR,Sub-Saharan Africa,750000,2008,2011,2013,2,1096,independent eval office,1,Agriculture and Environment
GEF,LBN,Middle East & North Africa,2500000,1996,2004,2004,0,2922,independent eval office,0,Agriculture and Environment
GEF,LBN,Middle East & North Africa,530499,2004,2007,2009,2,1096,independent eval office,1,Agriculture and Environment
GEF,LBN,Middle East & North Africa,3400000,2001,2010,2011,1,3287,independent eval office,0,Agriculture and Environment
GEF,LBN,Middle East & North Africa,980000,2008,2013,2014,1,1827,independent eval office,0,Agriculture and Environment
GEF,LBN,Middle East & North Africa,980000,2008,2014,2014,0,2192,independent eval office,1,Agriculture and Environment
GEF,LSO,Sub-Saharan Africa,2484999,1999,2004,2007,3,1826,independent eval office,1,Agriculture and Environment
GEF,LSO,Sub-Saharan Africa,2500000,2006,2013,2013,0,2557,independent eval office,0,Agriculture and Environment
GEF,LSO,Sub-Saharan Africa,1724499,2009,2014,2015,1,1826,independent eval office,1,Agriculture and Environment
GEF,LTU,Europe & Central Asia,6900000,1996,2002,2003,1,2192,independent eval office,0,Agriculture and Environment
GEF,LTU,Europe & Central Asia,4420000,1998,2005,2010,5,2557,independent eval office,1,Agriculture and Environment
GEF,LTU,Europe & Central Asia,10000000,2003,2008,2009,1,1826,independent eval office,1,Agriculture and Environment
GEF,LTU,Europe & Central Asia,3260999,2007,2010,2010,0,1096,independent eval office,0,Agriculture and Environment
GEF,MRT,Sub-Saharan Africa,2099999,1994,1996,1996,0,730,independent eval office,0,Agriculture and Environment
GEF,MRT,Sub-Saharan Africa,6000000,2007,2013,2014,1,2192,independent eval office,1,Agriculture and Environment
GEF,MRT,Sub-Saharan Africa,4190000,2010,2014,2015,1,1461,independent eval office,1,Agriculture and Environment
GEF,MKD,Europe & Central Asia,1500000,2000,2004,2005,1,1461,independent eval office,0,Agriculture and Environment
GEF,MKD,Europe & Central Asia,750000,2000,2004,2004,0,1461,independent eval office,0,Agriculture and Environment
GEF,MKD,Europe & Central Asia,1000000,2007,2011,2011,0,1461,independent eval office,1,Agriculture and Environment
GEF,MKD,Europe & Central Asia,957000,2008,2012,2012,0,1461,independent eval office,1,Agriculture and Environment
GEF,MKD,Europe & Central Asia,5500000,2007,2013,2013,0,2192,independent eval office,1,Agriculture and Environment
GEF,MKD,Europe & Central Asia,407000,2011,2015,2016,1,1461,independent eval office,1,Agriculture and Environment
GEF,MDV,South Asia,725000,2004,2010,2011,1,2192,independent eval office,0,Agriculture and Environment
GEF,MDV,South Asia,2370100,2004,2011,2012,1,2557,independent eval office,1,Agriculture and Environment
GEF,MDV,South Asia,4485000,2010,2015,2016,1,1826,independent eval office,0,Agriculture and Environment
GEF,MDG,Sub-Saharan Africa,20799999,1997,2003,2003,0,2191,independent eval office,1,Agriculture and Environment
GEF,MDG,Sub-Saharan Africa,975000,2004,2008,2008,0,1461,independent eval office,1,Agriculture and Environment
GEF,MDG,Sub-Saharan Africa,910000,2010,2014,2015,1,1461,independent eval office,0,Agriculture and Environment
GEF,MDG,Sub-Saharan Africa,5900000,2011,2014,2015,1,1096,independent eval office,1,Agriculture and Environment
GEF,MYS,East Asia & Pacific,7300600,1999,2007,2008,1,2922,independent eval office,0,Agriculture and Environment
GEF,MYS,East Asia & Pacific,4000000,2005,2007,2006,-1,730,independent eval office,0,Agriculture and Environment
GEF,MYS,East Asia & Pacific,5985000,2001,2010,2009,-1,3287,independent eval office,0,Agriculture and Environment
GEF,MYS,East Asia & Pacific,4699420,2005,2011,2011,0,2191,independent eval office,0,Agriculture and Environment
GEF,MYS,East Asia & Pacific,911379,2006,2012,2012,0,2191,independent eval office,0,Agriculture and Environment
GEF,MYS,East Asia & Pacific,2260999,2006,2013,2012,-1,2557,independent eval office,0,Agriculture and Environment
GEF,MYS,East Asia & Pacific,1952400,2006,2013,2013,0,2557,independent eval office,1,Agriculture and Environment
GEF,MUS,Sub-Saharan Africa,200000,1995,1998,1999,1,1096,independent eval office,0,Agriculture and Environment
GEF,MUS,Sub-Saharan Africa,1200000,1996,2001,2002,1,1827,independent eval office,1,Agriculture and Environment
GEF,MUS,Sub-Saharan Africa,750000,2000,2005,2005,0,1827,independent eval office,0,Agriculture and Environment
GEF,MUS,Sub-Saharan Africa,427800,2007,2011,2015,4,1461,independent eval office,0,Agriculture and Environment
GEF,MUS,Sub-Saharan Africa,977999,2003,2012,2012,0,3287,independent eval office,0,Agriculture and Environment
GEF,MUS,Sub-Saharan Africa,910000,2007,2014,2014,0,2557,independent eval office,1,Agriculture and Environment
GEF,MUS,Sub-Saharan Africa,899999,2008,2015,2015,0,2557,independent eval office,0,Agriculture and Environment
GEF,MWI,Sub-Saharan Africa,5000000,1995,2000,2000,0,1826,independent eval office,0,Agriculture and Environment
GEF,MWI,Sub-Saharan Africa,6750000,2001,2008,2009,1,2556,independent eval office,1,Agriculture and Environment
GEF,MWI,Sub-Saharan Africa,910000,2012,2015,2015,0,1096,independent eval office,0,Agriculture and Environment
GEF,MWI,Sub-Saharan Africa,2072940,2010,2015,2016,1,1826,independent eval office,1,Agriculture and Environment
GEF,MEX,Latin America & Caribbean,25000000,1993,1997,2003,6,1461,independent eval office,0,Agriculture and Environment
GEF,MEX,Latin America & Caribbean,725000,1999,2002,2003,1,1096,independent eval office,0,Agriculture and Environment
GEF,MEX,Latin America & Caribbean,725000,2001,2004,2005,1,1095,independent eval office,0,Agriculture and Environment
GEF,MEX,Latin America & Caribbean,1461148,2002,2005,2005,0,1096,independent eval office,0,Agriculture and Environment
GEF,MEX,Latin America & Caribbean,714829,1999,2005,2006,1,2192,independent eval office,0,Multisector and Unallocated
GEF,MEX,Latin America & Caribbean,8899999,2000,2006,2007,1,2192,independent eval office,1,Agriculture and Environment
GEF,MEX,Latin America & Caribbean,5969999,2002,2006,2007,1,1461,independent eval office,1,Agriculture and Environment
GEF,MEX,Latin America & Caribbean,7480139,2001,2008,2009,1,2556,independent eval office,1,Agriculture and Environment
GEF,MEX,Latin America & Caribbean,5800000,2003,2009,2009,0,2192,independent eval office,1,Agriculture and Environment
GEF,MEX,Latin America & Caribbean,6730609,2001,2009,2009,0,2922,independent eval office,1,Agriculture and Environment
GEF,MEX,Latin America & Caribbean,14840000,2002,2009,2010,1,2557,independent eval office,1,Agriculture and Environment
GEF,MEX,Latin America & Caribbean,16100000,2002,2010,2010,0,2922,independent eval office,1,Agriculture and Environment
GEF,MEX,Latin America & Caribbean,15300000,2001,2010,2011,1,3287,independent eval office,0,Multisector and Unallocated
GEF,MEX,Latin America & Caribbean,7349999,2007,2010,2010,0,1096,independent eval office,1,Agriculture and Environment
GEF,MEX,Latin America & Caribbean,4736000,2003,2010,2012,2,2557,independent eval office,0,Agriculture and Environment
GEF,MEX,Latin America & Caribbean,652800,2002,2010,2011,1,2922,independent eval office,0,Multisector and Unallocated
GEF,MEX,Latin America & Caribbean,2210000,2003,2010,2010,0,2557,independent eval office,1,Agriculture and Environment
GEF,MEX,Latin America & Caribbean,15000000,2006,2011,2011,0,1826,independent eval office,1,Agriculture and Environment
GEF,MEX,Latin America & Caribbean,1000000,2007,2011,2013,2,1461,independent eval office,0,Agriculture and Environment
GEF,MEX,Latin America & Caribbean,838000,2007,2011,2012,1,1461,independent eval office,1,Agriculture and Environment
GEF,MEX,Latin America & Caribbean,4502500,2009,2013,2013,0,1461,independent eval office,1,Infrastructure and Basic Services
GEF,MEX,Latin America & Caribbean,4630000,2009,2014,2015,1,1826,independent eval office,0,Agriculture and Environment
GEF,MEX,Latin America & Caribbean,1484044,2010,2014,2014,0,1461,independent eval office,1,Agriculture and Environment
GEF,MEX,Latin America & Caribbean,2707536,2011,2015,2015,0,1461,independent eval office,0,Agriculture and Environment
GEF,MDA,Europe & Central Asia,975000,2002,2005,2005,0,1096,independent eval office,0,Agriculture and Environment
GEF,MDA,Europe & Central Asia,972920,2005,2008,2008,0,1095,independent eval office,0,Agriculture and Environment
GEF,MDA,Europe & Central Asia,4949999,2004,2009,2010,1,1827,independent eval office,1,Infrastructure and Basic Services
GEF,MDA,Europe & Central Asia,6349999,2006,2010,2011,1,1461,independent eval office,1,Agriculture and Environment
GEF,MDA,Europe & Central Asia,4561999,2007,2010,2012,2,1096,independent eval office,1,Infrastructure and Basic Services
GEF,MDA,Europe & Central Asia,949999,2009,2013,2013,0,1461,independent eval office,0,Agriculture and Environment
GEF,MDA,Europe & Central Asia,510450,2011,2015,2015,0,1461,independent eval office,1,Multisector and Unallocated
GEF,MLI,Sub-Saharan Africa,2500000,1995,2000,2001,1,1826,independent eval office,0,Agriculture and Environment
GEF,MLI,Sub-Saharan Africa,5500000,2005,2012,2013,1,2556,independent eval office,0,Agriculture and Environment
GEF,MLI,Sub-Saharan Africa,3500000,2004,2012,2013,1,2922,independent eval office,1,Agriculture and Environment
GEF,MLI,Sub-Saharan Africa,6000000,2007,2013,2013,0,2192,independent eval office,0,Agriculture and Environment
GEF,MNE,Europe & Central Asia,978393,2008,2012,2013,1,1461,independent eval office,1,Agriculture and Environment
GEF,MNE,Europe & Central Asia,502699,2011,2015,2016,1,1461,independent eval office,0,Multisector and Unallocated
GEF,MNE,Europe & Central Asia,949999,2010,2015,2013,-2,1826,independent eval office,1,Agriculture and Environment
GEF,MNE,Europe & Central Asia,1000000,2010,2015,2015,0,1826,independent eval office,1,Agriculture and Environment
GEF,MNG,East Asia & Pacific,1000000,1997,1998,1997,-1,365,independent eval office,0,Agriculture and Environment
GEF,MNG,East Asia & Pacific,5164000,1998,2005,2006,1,2557,independent eval office,1,Agriculture and Environment
GEF,MNG,East Asia & Pacific,801294,2001,2006,2006,0,1826,independent eval office,1,Multisector and Unallocated
GEF,MNG,East Asia & Pacific,978999,2003,2007,2007,0,1461,independent eval office,1,Agriculture and Environment
GEF,MNG,East Asia & Pacific,744633,2001,2007,2007,0,2191,independent eval office,0,Agriculture and Environment
GEF,MNG,East Asia & Pacific,725000,2001,2007,2007,0,2191,independent eval office,1,Agriculture and Environment
GEF,MNG,East Asia & Pacific,975000,2003,2008,2008,0,1826,independent eval office,0,Agriculture and Environment
GEF,MNG,East Asia & Pacific,2720000,2006,2011,2011,0,1826,independent eval office,0,Agriculture and Environment
GEF,MNG,East Asia & Pacific,3500000,2007,2012,2012,0,1826,independent eval office,1,Agriculture and Environment
GEF,MNG,East Asia & Pacific,975000,2010,2013,2014,1,1096,independent eval office,1,Agriculture and Environment
GEF,MNG,East Asia & Pacific,379300,2011,2014,2015,1,1096,independent eval office,1,Agriculture and Environment
GEF,MNG,East Asia & Pacific,1363630,2010,2015,2015,0,1826,independent eval office,1,Agriculture and Environment
GEF,MAR,Middle East & North Africa,749265,2003,2007,2007,0,1461,independent eval office,1,Agriculture and Environment
GEF,MAR,Middle East & North Africa,2964999,2000,2008,2010,2,2922,independent eval office,0,Agriculture and Environment
GEF,MAR,Middle East & North Africa,10500000,2000,2008,2009,1,2922,independent eval office,1,Agriculture and Environment
GEF,MAR,Middle East & North Africa,4251999,2000,2010,2011,1,3653,independent eval office,0,Agriculture and Environment
GEF,MAR,Middle East & North Africa,43200001,2007,2012,2013,1,1826,independent eval office,1,Agriculture and Environment
GEF,MAR,Middle East & North Africa,2198000,2009,2014,2014,0,1826,independent eval office,0,Agriculture and Environment
GEF,MAR,Middle East & North Africa,965345,2006,2014,2014,0,2922,independent eval office,1,Multisector and Unallocated
GEF,MAR,Middle East & North Africa,5998422,2009,2015,2016,1,2191,independent eval office,1,Multisector and Unallocated
GEF,MAR,Middle East & North Africa,3000000,2009,2015,2015,0,2191,independent eval office,1,Agriculture and Environment
GEF,MAR,Middle East & North Africa,949999,2011,2015,2015,0,1461,independent eval office,0,Agriculture and Environment
GEF,MAR,Middle East & North Africa,460000,2011,2015,2015,0,1461,independent eval office,1,Multisector and Unallocated
GEF,MOZ,Sub-Saharan Africa,5000000,1997,2003,2004,1,2191,independent eval office,0,Agriculture and Environment
GEF,MOZ,Sub-Saharan Africa,3730000,2001,2007,2008,1,2191,independent eval office,0,Agriculture and Environment
GEF,MOZ,Sub-Saharan Africa,3089999,2004,2011,2012,1,2557,independent eval office,1,Agriculture and Environment
GEF,MOZ,Sub-Saharan Africa,6199999,2007,2013,2014,1,2192,independent eval office,1,Multisector and Unallocated
GEF,MOZ,Sub-Saharan Africa,959999,2009,2013,2014,1,1461,independent eval office,1,Agriculture and Environment
GEF,MOZ,Sub-Saharan Africa,10000000,2006,2014,2014,0,2922,independent eval office,1,Agriculture and Environment
GEF,NAM,Sub-Saharan Africa,1000000,2007,2011,2012,1,1461,independent eval office,0,Agriculture and Environment
GEF,NAM,Sub-Saharan Africa,959999,2007,2011,2012,1,1461,independent eval office,0,Agriculture and Environment
GEF,NAM,Sub-Saharan Africa,7099999,2004,2011,2011,0,2557,independent eval office,1,Multisector and Unallocated
GEF,NAM,Sub-Saharan Africa,2599999,2007,2011,2011,0,1461,independent eval office,0,Agriculture and Environment
GEF,NAM,Sub-Saharan Africa,474999,2009,2012,2011,-1,1095,independent eval office,0,Multisector and Unallocated
GEF,NAM,Sub-Saharan Africa,7000000,2007,2012,2013,1,1826,independent eval office,1,Agriculture and Environment
GEF,NAM,Sub-Saharan Africa,8199999,2006,2012,2012,0,2191,independent eval office,0,Agriculture and Environment
GEF,NAM,Sub-Saharan Africa,859000,2010,2014,2014,0,1461,independent eval office,0,Agriculture and Environment
GEF,NPL,South Asia,3800000,1993,1999,1999,0,2191,independent eval office,0,Agriculture and Environment
GEF,NPL,South Asia,625000,2001,2004,2005,1,1095,independent eval office,0,Agriculture and Environment
GEF,NPL,South Asia,750000,2001,2006,2008,2,1826,independent eval office,1,Agriculture and Environment
GEF,NPL,South Asia,727500,2000,2006,2006,0,2192,independent eval office,0,Agriculture and Environment
GEF,NPL,South Asia,3312278,2005,2012,2012,0,2556,independent eval office,0,Agriculture and Environment
GEF,NPL,South Asia,1964895,2007,2013,2013,0,2192,independent eval office,1,Agriculture and Environment
GEF,NPL,South Asia,880000,2010,2015,2016,1,1826,independent eval office,0,Agriculture and Environment
GEF,NIC,Latin America & Caribbean,725000,2000,2004,2007,3,1461,independent eval office,1,Multisector and Unallocated
GEF,NIC,Latin America & Caribbean,7099999,1998,2005,2006,1,2557,independent eval office,1,Agriculture and Environment
GEF,NIC,Latin America & Caribbean,962120,2004,2010,2010,0,2192,independent eval office,1,Agriculture and Environment
GEF,NIC,Latin America & Caribbean,7504300,2003,2011,2009,-2,2922,independent eval office,1,Agriculture and Environment
GEF,NIC,Latin America & Caribbean,1800000,2008,2012,2013,1,1461,independent eval office,0,Agriculture and Environment
GEF,NIC,Latin America & Caribbean,899999,2009,2012,2012,0,1095,independent eval office,0,Agriculture and Environment
GEF,NIC,Latin America & Caribbean,3000000,2005,2012,2012,0,2556,independent eval office,1,Agriculture and Environment
GEF,NIC,Latin America & Caribbean,465000,2008,2012,2012,0,1461,independent eval office,0,Multisector and Unallocated
GEF,NGA,Sub-Saharan Africa,8000000,2004,2009,2010,1,1827,independent eval office,0,Agriculture and Environment
GEF,NGA,Sub-Saharan Africa,10030000,2006,2011,2012,1,1826,independent eval office,0,Agriculture and Environment
GEF,NGA,Sub-Saharan Africa,1000000,2005,2012,2012,0,2556,independent eval office,1,Agriculture and Environment
GEF,NGA,Sub-Saharan Africa,6800000,2010,2013,2014,1,1096,independent eval office,0,Agriculture and Environment
GEF,NER,Sub-Saharan Africa,4000000,2003,2010,2011,1,2557,independent eval office,1,Multisector and Unallocated
GEF,NER,Sub-Saharan Africa,4670000,2008,2013,2013,0,1827,independent eval office,1,Agriculture and Environment
GEF,NER,Sub-Saharan Africa,3500000,2009,2013,2014,1,1461,independent eval office,0,Agriculture and Environment
GEF,NER,Sub-Saharan Africa,4000000,2006,2014,2013,-1,2922,independent eval office,1,Agriculture and Environment
GEF,NER,Sub-Saharan Africa,2020000,2010,2015,2015,0,1826,independent eval office,0,Agriculture and Environment
GEF,PAK,South Asia,7000000,1996,2005,2006,1,3288,independent eval office,0,Agriculture and Environment
GEF,PAK,South Asia,8100000,1999,2006,2006,0,2557,independent eval office,1,Agriculture and Environment
GEF,PAK,South Asia,10160000,2002,2009,2011,2,2557,independent eval office,1,Agriculture and Environment
GEF,PAK,South Asia,3099999,2005,2010,2011,1,1826,independent eval office,1,Agriculture and Environment
GEF,PAK,South Asia,975000,2005,2011,2012,1,2191,independent eval office,0,Agriculture and Environment
GEF,PAK,South Asia,2000000,2008,2011,2011,0,1096,independent eval office,0,Agriculture and Environment
GEF,PAK,South Asia,2991349,2005,2012,2012,0,2556,independent eval office,1,Agriculture and Environment
GEF,PAK,South Asia,767000,2004,2012,2012,0,2922,independent eval office,0,Agriculture and Environment
GEF,PAK,South Asia,975000,2009,2013,2013,0,1461,independent eval office,0,Agriculture and Environment
GEF,PLW,East Asia & Pacific,975000,2008,2015,2014,-1,2557,independent eval office,0,Agriculture and Environment
GEF,PAN,Latin America & Caribbean,2000000,1994,2001,2001,0,2557,independent eval office,0,Agriculture and Environment
GEF,PAN,Latin America & Caribbean,725000,1999,2003,2004,1,1461,independent eval office,0,Agriculture and Environment
GEF,PAN,Latin America & Caribbean,8399999,1998,2005,2006,1,2557,independent eval office,1,Agriculture and Environment
GEF,PAN,Latin America & Caribbean,6000000,2007,2014,2015,1,2557,independent eval office,1,Agriculture and Environment
GEF,PAN,Latin America & Caribbean,1000000,2013,2015,2015,0,730,independent eval office,0,Agriculture and Environment
GEF,PRY,Latin America & Caribbean,973512,2003,2007,2007,0,1461,independent eval office,0,Agriculture and Environment
GEF,PRY,Latin America & Caribbean,8896363,2000,2010,2011,1,3653,independent eval office,0,Agriculture and Environment
GEF,PER,Latin America & Caribbean,5000000,1995,1996,2000,4,365,independent eval office,1,Agriculture and Environment
GEF,PER,Latin America & Caribbean,748305,2001,2004,2005,1,1095,independent eval office,0,Agriculture and Environment
GEF,PER,Latin America & Caribbean,5050000,2000,2006,2006,0,2192,independent eval office,0,Agriculture and Environment
GEF,PER,Latin America & Caribbean,10000000,2001,2007,2008,1,2191,independent eval office,1,Agriculture and Environment
GEF,PER,Latin America & Caribbean,3930093,1999,2007,2009,2,2922,independent eval office,1,Agriculture and Environment
GEF,PER,Latin America & Caribbean,964010,2003,2007,2007,0,1461,independent eval office,1,Agriculture and Environment
GEF,PER,Latin America & Caribbean,971162,2004,2008,2009,1,1461,independent eval office,0,Agriculture and Environment
GEF,PER,Latin America & Caribbean,725000,2002,2008,2007,-1,2191,independent eval office,1,Agriculture and Environment
GEF,PER,Latin America & Caribbean,725000,2004,2008,2009,1,1461,independent eval office,0,Agriculture and Environment
GEF,PER,Latin America & Caribbean,747500,2001,2008,2005,-3,2556,independent eval office,1,Agriculture and Environment
GEF,PER,Latin America & Caribbean,975000,2004,2009,2009,0,1827,independent eval office,0,Agriculture and Environment
GEF,PER,Latin America & Caribbean,870000,2004,2010,2011,1,2192,independent eval office,0,Multisector and Unallocated
GEF,PER,Latin America & Caribbean,1800000,2006,2010,2013,3,1461,independent eval office,0,Agriculture and Environment
GEF,PER,Latin America & Caribbean,14830000,2003,2010,2011,1,2557,independent eval office,0,Agriculture and Environment
GEF,PER,Latin America & Caribbean,7929999,2004,2010,2012,2,2192,independent eval office,1,Agriculture and Environment
GEF,PER,Latin America & Caribbean,10000000,2006,2012,2013,1,2191,independent eval office,0,Agriculture and Environment
GEF,PHL,East Asia & Pacific,31200001,1994,1999,2000,1,1826,independent eval office,0,Agriculture and Environment
GEF,PHL,East Asia & Pacific,20000000,1994,2002,2004,2,2922,independent eval office,0,Agriculture and Environment
GEF,PHL,East Asia & Pacific,749714,2000,2004,2005,1,1461,independent eval office,0,Agriculture and Environment
GEF,PHL,East Asia & Pacific,750000,2000,2005,2007,2,1827,independent eval office,0,Agriculture and Environment
GEF,PHL,East Asia & Pacific,1250000,1999,2005,2006,1,2192,independent eval office,0,Agriculture and Environment
GEF,PHL,East Asia & Pacific,750000,2000,2005,2005,0,1827,independent eval office,0,Agriculture and Environment
